# of Queries,Total Runtime,Throughput,Latency
5.000000000000000000e+01,5.402552270889282227e+01,9.254885004892288158e-01,1.080510454177856516e+00
5.000000000000000000e+01,5.389665031433105469e+01,9.277014380002213123e-01,1.077933006286621032e+00
5.000000000000000000e+01,5.381049323081970215e+01,9.291867997850415950e-01,1.076209864616394007e+00
5.000000000000000000e+01,5.362948870658874512e+01,9.323228918618641226e-01,1.072589774131774920e+00
5.000000000000000000e+01,5.381468439102172852e+01,9.291144334638491431e-01,1.076293687820434553e+00
5.000000000000000000e+01,5.372314357757568359e+01,9.306975852557938245e-01,1.074462871551513654e+00
5.000000000000000000e+01,5.384625124931335449e+01,9.285697488669203414e-01,1.076925024986267188e+00
5.000000000000000000e+01,5.398377418518066406e+01,9.262042299688956204e-01,1.079675483703613326e+00
5.000000000000000000e+01,5.378013682365417480e+01,9.297112828840637944e-01,1.075602736473083576e+00
5.000000000000000000e+01,5.381636261940002441e+01,9.290854596326010295e-01,1.076327252388000533e+00
5.000000000000000000e+01,5.383951783180236816e+01,9.286858800668083003e-01,1.076790356636047274e+00
5.000000000000000000e+01,5.393510866165161133e+01,9.270399418987448348e-01,1.078702173233032191e+00
5.000000000000000000e+01,5.371597981452941895e+01,9.308217065506398935e-01,1.074319596290588485e+00
5.000000000000000000e+01,5.385356116294860840e+01,9.284437077190009768e-01,1.077071223258972088e+00
5.000000000000000000e+01,5.383584141731262207e+01,9.287492994197155127e-01,1.076716828346252486e+00
5.000000000000000000e+01,5.368827748298645020e+01,9.313019963407236368e-01,1.073765549659728924e+00
5.000000000000000000e+01,5.380765795707702637e+01,9.292357611975150533e-01,1.076153159141540527e+00
5.000000000000000000e+01,5.390293312072753906e+01,9.275933071770685601e-01,1.078058662414550728e+00
5.000000000000000000e+01,5.380502247810363770e+01,9.292812770470987305e-01,1.076100449562072736e+00
5.000000000000000000e+01,5.372898173332214355e+01,9.305964562695319131e-01,1.074579634666442907e+00
5.000000000000000000e+01,5.387286043167114258e+01,9.281111045406020832e-01,1.077457208633422869e+00
5.000000000000000000e+01,5.370952033996582031e+01,9.309336535406456115e-01,1.074190406799316433e+00
5.000000000000000000e+01,5.393428850173950195e+01,9.270540390717750823e-01,1.078685770034790048e+00
1.000000000000000000e+02,1.043383617401123047e+02,9.584202620420821939e-01,1.043383617401123065e+00
1.000000000000000000e+02,1.043642742633819580e+02,9.581822966318155332e-01,1.043642742633819509e+00
1.000000000000000000e+02,1.040094733238220215e+02,9.614508833119559394e-01,1.040094733238220215e+00
1.000000000000000000e+02,1.045748345851898193e+02,9.562530067263647071e-01,1.045748345851898131e+00
