# of Geofences,Runtime Encrypt,Runtime Compute,Runtime Evaluate,Runtime Total
2.000000000000000000e+02,1.522482633590698242e+00,9.415191650390625000e+00,1.386334872245788574e+01,2.480102300643920898e+01
2.000000000000000000e+02,1.503429651260375977e+00,9.345155239105224609e+00,1.382068276405334473e+01,2.466926765441894531e+01
2.000000000000000000e+02,1.515836000442504883e+00,9.334476232528686523e+00,1.395487046241760254e+01,2.480518269538879395e+01
2.000000000000000000e+02,1.512714862823486328e+00,9.401424884796142578e+00,1.389201879501342773e+01,2.480615854263305664e+01
2.000000000000000000e+02,1.522650003433227539e+00,9.315072298049926758e+00,1.387034821510314941e+01,2.470807051658630371e+01
2.000000000000000000e+02,1.598877668380737305e+00,9.485477447509765625e+00,1.387756538391113281e+01,2.496192049980163574e+01
2.000000000000000000e+02,1.506069183349609375e+00,9.371278524398803711e+00,1.390770387649536133e+01,2.478505158424377441e+01
2.000000000000000000e+02,1.536338329315185547e+00,9.479383945465087891e+00,1.397561955451965332e+01,2.499134182929992676e+01
2.000000000000000000e+02,1.505562305450439453e+00,9.357279539108276367e+00,1.389391756057739258e+01,2.475675940513610840e+01
2.000000000000000000e+02,1.505089282989501953e+00,9.343218803405761719e+00,1.400776004791259766e+01,2.485606813430786133e+01
2.000000000000000000e+02,1.511929035186767578e+00,9.388708591461181641e+00,1.379818296432495117e+01,2.469882059097290039e+01
2.000000000000000000e+02,1.612777948379516602e+00,9.424816370010375977e+00,1.376410031318664551e+01,2.480169463157653809e+01
3.000000000000000000e+02,1.505742073059082031e+00,1.405242228507995605e+01,2.081583237648010254e+01,3.637399673461914062e+01
3.000000000000000000e+02,1.502842664718627930e+00,1.401307487487792969e+01,2.067607355117797852e+01,3.619199109077453613e+01
3.000000000000000000e+02,1.526140213012695312e+00,1.397006273269653320e+01,2.090435743331909180e+01,3.640056037902832031e+01
3.000000000000000000e+02,1.545735120773315430e+00,1.427810859680175781e+01,2.084233570098876953e+01,3.666617941856384277e+01
3.000000000000000000e+02,1.532109260559082031e+00,1.402598619461059570e+01,2.119242835044860840e+01,3.675052380561828613e+01
3.000000000000000000e+02,1.615422248840332031e+00,1.482113933563232422e+01,2.139854097366333008e+01,3.783510255813598633e+01
3.000000000000000000e+02,1.583820104598999023e+00,1.422631096839904785e+01,2.082895302772521973e+01,3.663908410072326660e+01
3.000000000000000000e+02,1.507548332214355469e+00,1.412720561027526855e+01,2.074249124526977539e+01,3.637724518775939941e+01
3.000000000000000000e+02,1.540813207626342773e+00,1.399762868881225586e+01,2.061303281784057617e+01,3.615147471427917480e+01
3.000000000000000000e+02,1.513667583465576172e+00,1.407723045349121094e+01,2.059513115882873535e+01,3.618602919578552246e+01
3.000000000000000000e+02,1.501274585723876953e+00,1.398077583312988281e+01,2.054924321174621582e+01,3.603129363059997559e+01
3.000000000000000000e+02,1.512022972106933594e+00,1.407006359100341797e+01,2.050659847259521484e+01,3.608868503570556641e+01
3.000000000000000000e+02,1.520280122756958008e+00,1.398799252510070801e+01,2.051956534385681152e+01,3.602783799171447754e+01
3.000000000000000000e+02,1.526944875717163086e+00,1.395535016059875488e+01,2.054363727569580078e+01,3.602593231201171875e+01
3.000000000000000000e+02,1.525563240051269531e+00,1.396386742591857910e+01,2.054926967620849609e+01,3.603870034217834473e+01
3.000000000000000000e+02,1.505961179733276367e+00,1.397779321670532227e+01,2.056351995468139648e+01,3.604727435111999512e+01
3.000000000000000000e+02,1.531958580017089844e+00,1.392727088928222656e+01,2.055917644500732422e+01,3.601840591430664062e+01
3.000000000000000000e+02,1.529626131057739258e+00,1.398734354972839355e+01,2.055948615074157715e+01,3.607645583152770996e+01
3.000000000000000000e+02,1.533536911010742188e+00,1.397618246078491211e+01,2.056789064407348633e+01,3.607761001586914062e+01
3.000000000000000000e+02,1.521893262863159180e+00,1.394859313964843750e+01,2.050000572204589844e+01,3.597049212455749512e+01
3.000000000000000000e+02,1.543977260589599609e+00,1.388867020606994629e+01,2.050819230079650879e+01,3.594083976745605469e+01
3.000000000000000000e+02,1.523936271667480469e+00,1.396413826942443848e+01,2.071554851531982422e+01,3.620362305641174316e+01
3.000000000000000000e+02,1.503426790237426758e+00,1.396261096000671387e+01,2.052184677124023438e+01,3.598788452148437500e+01
3.000000000000000000e+02,1.551227807998657227e+00,1.392955088615417480e+01,2.056157755851745605e+01,3.604235625267028809e+01
3.000000000000000000e+02,1.487693786621093750e+00,1.411784148216247559e+01,2.055906009674072266e+01,3.616459536552429199e+01
3.000000000000000000e+02,1.508116245269775391e+00,1.401794862747192383e+01,2.053179883956909180e+01,3.605786371231079102e+01
3.000000000000000000e+02,1.514293670654296875e+00,1.391088151931762695e+01,2.057044482231140137e+01,3.599562001228332520e+01
3.000000000000000000e+02,1.527070045471191406e+00,1.396852087974548340e+01,2.053256964683532715e+01,3.602816057205200195e+01
3.000000000000000000e+02,1.545432567596435547e+00,1.394178843498229980e+01,2.067862319946289062e+01,3.616584420204162598e+01
3.000000000000000000e+02,1.504935503005981445e+00,1.404423761367797852e+01,2.048309230804443359e+01,3.603226542472839355e+01
