# of Geofences,Runtime Encrypt,Runtime Compute,Runtime Evaluate,Runtime Total
2.000000000000000000e+02,7.361583709716796875e-01,8.947061777114868164e+00,1.379283237457275391e+01,2.347605252265930176e+01
2.000000000000000000e+02,7.365584373474121094e-01,8.855328559875488281e+00,1.377450823783874512e+01,2.336639523506164551e+01
2.000000000000000000e+02,7.506318092346191406e-01,8.926232576370239258e+00,1.381139969825744629e+01,2.348826408386230469e+01
2.000000000000000000e+02,7.405822277069091797e-01,8.957660436630249023e+00,1.388601827621459961e+01,2.358426094055175781e+01
2.000000000000000000e+02,7.294282913208007812e-01,8.921276807785034180e+00,1.381751894950866699e+01,2.346822404861450195e+01
2.000000000000000000e+02,7.489447593688964844e-01,8.967867136001586914e+00,1.386577820777893066e+01,2.358259010314941406e+01
2.000000000000000000e+02,7.413911819458007812e-01,8.956766843795776367e+00,1.388429331779479980e+01,2.358245134353637695e+01
2.000000000000000000e+02,7.452635765075683594e-01,8.876861333847045898e+00,1.371194076538085938e+01,2.333406567573547363e+01
2.000000000000000000e+02,7.465848922729492188e-01,8.936142683029174805e+00,1.386833810806274414e+01,2.355106568336486816e+01
2.000000000000000000e+02,7.529590129852294922e-01,8.922851800918579102e+00,1.391631913185119629e+01,2.359212994575500488e+01
2.000000000000000000e+02,7.359240055084228516e-01,8.900749683380126953e+00,1.391347479820251465e+01,2.355014848709106445e+01
2.000000000000000000e+02,7.513985633850097656e-01,8.974798679351806641e+00,1.401938319206237793e+01,2.374558043479919434e+01
2.000000000000000000e+02,7.332744598388671875e-01,8.909265518188476562e+00,1.384551358222961426e+01,2.348805356025695801e+01
2.000000000000000000e+02,7.378609180450439453e-01,8.884347438812255859e+00,1.380638909339904785e+01,2.342859745025634766e+01
2.000000000000000000e+02,7.519996166229248047e-01,8.861121416091918945e+00,1.383885693550109863e+01,2.345197796821594238e+01
2.000000000000000000e+02,7.519295215606689453e-01,8.893360614776611328e+00,1.379350066184997559e+01,2.343879079818725586e+01
2.000000000000000000e+02,7.415311336517333984e-01,8.842926740646362305e+00,1.388278484344482422e+01,2.346724271774291992e+01
2.000000000000000000e+02,7.286934852600097656e-01,9.033321857452392578e+00,1.379188752174377441e+01,2.355390286445617676e+01
2.000000000000000000e+02,7.649416923522949219e-01,8.953470468521118164e+00,1.384471893310546875e+01,2.356313109397888184e+01
2.000000000000000000e+02,7.437610626220703125e-01,8.920381069183349609e+00,1.399989771842956543e+01,2.366403985023498535e+01
2.000000000000000000e+02,7.483599185943603516e-01,8.879365682601928711e+00,1.385067033767700195e+01,2.347839593887329102e+01
2.000000000000000000e+02,7.264430522918701172e-01,9.014566421508789062e+00,1.389447808265686035e+01,2.363548755645751953e+01
2.000000000000000000e+02,7.325525283813476562e-01,8.959431886672973633e+00,1.383316183090209961e+01,2.352514624595642090e+01
2.000000000000000000e+02,7.326931953430175781e-01,8.929393529891967773e+00,1.380883097648620605e+01,2.347091770172119141e+01
