Repetition,Latitude,Longitude,Ground Truth,System Result,Final Result
2,51.644480730383485,-9.922042211725577,Outside,Outside,Correct
2,51.66345461504925,-9.918526373637484,Outside,Outside,Correct
2,51.64998511356346,-9.939037362284445,Outside,Outside,Correct
2,51.65184029147024,-9.930376249320135,Outside,Outside,Correct
2,51.6567449472931,-9.931229926872414,Outside,Outside,Correct
2,51.642784965888,-9.898256373630451,Outside,Outside,Correct
2,51.64826076485807,-9.930016415459647,Outside,Outside,Correct
2,51.64640920142495,-9.92681807327469,Outside,Outside,Correct
2,51.64822193283834,-9.893828157503037,Outside,Outside,Correct
2,51.65882325001077,-9.889515120109037,Outside,Outside,Correct
2,51.64054539965055,-9.897470355251023,Outside,Outside,Correct
2,51.654102140360976,-9.925331720400335,Outside,Outside,Correct
2,51.63579207295158,-9.914643232975227,Outside,Outside,Correct
2,51.65673142536665,-9.930295060175087,Outside,Outside,Correct
2,51.66081526638041,-9.914934978364467,Outside,Outside,Correct
2,51.64514965567197,-9.89265976808744,Outside,Outside,Correct
2,51.64964944454679,-9.927865864367117,Outside,Outside,Correct
2,51.658198582228906,-9.901883113115602,Inside,Inside,Correct
2,51.654421221089066,-9.924118388480178,Inside,Inside,Correct
2,51.65946683900016,-9.905570115393214,Inside,Inside,Correct
2,51.66004415381044,-9.910733930047328,Inside,Inside,Correct
2,51.65759728912264,-9.920618545381846,Inside,Inside,Correct
2,51.64265495915698,-9.915873798910736,Outside,Outside,Correct
2,51.64236938384368,-9.914462422498582,Outside,Outside,Correct
2,51.64457477802057,-9.900622915546538,Outside,Outside,Correct
2,51.653867781830236,-9.924445359308192,Inside,Inside,Correct
2,51.65455439178606,-9.897330376307144,Inside,Inside,Correct
2,51.64939183002732,-9.924925870659775,Outside,Outside,Correct
2,51.64213989208463,-9.912634185616694,Outside,Outside,Correct
2,51.642509311235266,-9.915215105996102,Outside,Outside,Correct
2,51.66003478555293,-9.910016379392276,Inside,Inside,Correct
2,51.64854085950426,-9.924598632363086,Outside,Outside,Correct
2,51.64441884257249,-9.900890459197369,Outside,Outside,Correct
2,51.64413020784149,-9.919935988717043,Outside,Outside,Correct
2,51.64562979126232,-9.922245077834228,Outside,Outside,Correct
2,51.64409083345573,-9.919858973157833,Outside,Outside,Correct
2,51.64952213598224,-9.896396304291295,Outside,Outside,Correct
2,51.65395898605717,-9.924396005346772,Inside,Inside,Correct
2,51.65897369015468,-9.903821329233272,Inside,Inside,Correct
2,51.65497719350112,-9.89763958287755,Inside,Inside,Correct
2,51.646032493472745,-9.922707966081298,Outside,Outside,Correct
2,51.65222093859911,-9.925051508804602,Inside,Inside,Correct
2,51.65883480253191,-9.903419967994669,Inside,Inside,Correct
2,51.657451887224155,-9.920861598679238,Inside,Inside,Correct
2,51.66002659726755,-9.911586862596215,Inside,Inside,Correct
2,51.64495190425832,-9.921331969321624,Outside,Outside,Correct
2,51.65672398764971,-9.921926996721092,Inside,Inside,Correct
2,51.65105,-9.910680000000001,Inside,Inside,Correct
